# manually created by selecting rows on https://basisregistratieondergrond.nl/service-contact/formulieren/aangemeld-bro/
# 28 august 2025 

4Infra B.V. | 05084212
Gemeente Haaksbergen | 50232274 (​B)
Gemeente Haarlem | 34369366 (​B)
Gemeente Haarlemmermeer | 73540374 (​B)
Gemeente Halderberge | 20164480 (​B)
Gemeente Hardenberg | 53009886 (​B)
Gemeente Harderwijk | 50197576 (​B)
Gemeente Hardinxveld-Giessendam | 51200570 (​B)
Gemeente Harlingen | 50945149 (​B)
Gemeente Hattem | 08217553 (​B)
Gemeente Heemskerk | 34368749 (​B)
Gemeente Heemstede | 34381346 (​B)
Gemeente Heerde | 08213234 (​B)
Gemeente Heerenveen | 59707720 (​B)
Gemeente Heerlen | 14128451 (​B)
Gemeente Heeze-Leende | 17274037 (​B)
Gemeente Heiloo | 37159666 (​B)
Gemeente Hellendoorn | 08221859 (​B)
Gemeente Hellevoetsluis | 51860015 (​B)
Gemeente Helmond | 17272669 (​B)
Gemeente Hendrik-Ido-Ambacht | 24488714 (​B)
Gemeente Hengelo | 08218146 (​B)
Gemeente Heumen | 50916769 (​B)
Gemeente Heusden | 17278565 (​B)
Gemeente Hillegom | 27363838 (​B)
Gemeente Hilvarenbeek | 17268742 (​B)
Gemeente Hilversum | 32170443 (​B)
Gemeente Het Hogeland | 73550728 (​B)
Gemeente Hoeksche Waard | 73544086 (​B)
Gemeente Hof van Twente | 08215304 (​B)
Gemeente Hollands Kroon | 54477506 (​B)
Gemeente Hoogeveen | 01175828 (​B)
Gemeente Hoorn | 37159084 (​B)
Gemeente Horst aan de Maas | 14130612 (​B)
Gemeente Houten | 30279619 (​B)
Gemeente Huizen | 32166112 (​B)
Gemeente Hulst | 20165080 (​B)
Gemeente IJsselstein | 30279625 (​B)
Gemeente Kaag en Braassem | 27369098 (​B)
Gemeente Kampen | 08216768 (​B)
Gemeente Kapelle | 51309971 (​B)
Gemeente Katwijk | 27370956 (​B)
Gemeente Kerkrade | 50778692 (​B)
Gemeente Koggenland | 50582445 (​B)
Gemeente Krimpenerwaard | 62251686 (​B)
Gemeente Krimpen aan den IJssel | 54596114 (​B)
Gemeente Laarbeek | 17279582 (​B)
Gemeente Landerd | 17275949 (​B)
Gemeente Landgraaf | 14131528 (​B)
Gemeente Landsmeer | 34363827 (​B)
Gemeente Land van Cuijk | 85028037 (​B)
Gemeente Lansingerland | 27366643 (​B)
Gemeente Laren | 32169164 (​B)
Gemeente Leeuwarden | 59734817 (​B)
Gemeente Leiden | 27364192 (​B)
Gemeente Leiderdorp | 27364127 (​B)
Gemeente Leidschendam-Voorburg | 27370940 (​B)
Gemeente Lelystad | 50000578 (​B)
Gemeente Leudal | 50277324 (​B)
Gemeente Leusden | 32167695 (​B)
Gemeente Lingewaard | 50986767 (​B)
Gemeente Lisse | 27370966 (​B)
Gemeente Lochem | 08215192 (​B)
Gemeente Loon op Zand | 17280777 (​B)
Gemeente Lopik | 50029886 (​B)
Gemeente Loppersum | 01180449 (​B)
Gemeente Losser | 50869744 (​B)
Gemeente Maasdriel | 30272405 (​B)
Gemeente Maasgouw | 52925811 (​B)
Gemeente Maashorst | 85031186 (​B)
Gemeente Maassluis | 24484110 (​B)
Gemeente Maastricht | 51488744 (​B)
Gemeente Medemblik | 37159672 (​B)
Gemeente Meerssen | 50443089 (​B)
Gemeente Meierijstad | 66723019 (​B)
Gemeente Meppel | 01178692 (​B)
Gemeente Middelburg | 51041510 (​B)
Gemeente Midden-Delfland | 27370601 (​B)
Gemeente Midden-Drenthe | 01182848 (​B)
Gemeente Midden-Groningen | 70476047 (​B)
Gemeente Mill en Sint Hubert | 50466208 (​B)
Gemeente Moerdijk | 20151657 (​B)
Gemeente Molenlanden | 73552739 (​B)
Gemeente Montferland | 09217772 (​B)
Gemeente Montfoort | 30277195 (​B)
Gemeente Mook en Middelaar | 09215819 (​B)
Gemeente Neder-Betuwe | 30276311 (​B)
Gemeente Nederweert | 52395413 (​B)
Gemeente Neerijnen | 30280563 (B)
Gemeente Nieuwegein | 30277029 (B)
Gemeente Nieuwkoop | 27364328 (B)
Gemeente Nijkerk | 32165156 (​B)
Gemeente Nijmegen | 09220932 (​B)
Gemeente Nissewaard | 62252046 (​B)
Gemeente Noardeast-Fryslân | 73552496 (​B)
Gemeente Noord-Beveland | 20164935 (​B)
Gemeente Noordenveld | 01173391 (​B)
Gemeente Noordoostpolder | 32170205 (​B)
Gemeente Noordwijk | 73538469 (​B)
Gemeente Nuenen c.a. | 17283654 (B)
Gemeente Nunspeet | 52584372 (​B)
Gemeente Oegstgeest | 50025929 (​B)
Gemeente Oirschot | 17285344 (​B)
Gemeente Oisterwijk | 17272760 (​B)
Gemeente Oldambt | 01176290 (​B)
Gemeente Oldebroek | 08223460 (​B)
Gemeente Oldenzaal | 08224234 (​B)
Gemeente Olst-Wijhe | 08222726 (​B)
Gemeente Ommen | 51102757 (​B)
Gemeente Oost Gelre | 09212525 (​B)
Gemeente Oosterhout | 20164965 (​B)
Gemeente Ooststellingwerf | 01180311 (​B)
Gemeente Oostzaan | 34371033 (​B)
Gemeente Opmeer | 37159195 (​B)
Gemeente Opsterland | 01175380 (​B)
Gemeente Oss | 50616641 (​B)
Gemeente Oude-IJsselstreek | 09220971 (B)
Gemeente Ouder-Amstel | 34359313 (B)
Gemeente Oudewater | 53878388 (​B)
Gemeente Overbetuwe | 51178567 (​B)
Gemeente Papendrecht | 24483621 (​B)
Gemeente Peel en Maas | 50397052 (​B)
Gemeente Pekela | 50654993 (​B)
Gemeente Pijnacker-Nootdorp | 27365912 (​B)
Gemeente Purmerend | 37162503 (​B)
Gemeente Putten | 08216960 (​B)
Gemeente Raalte | 08215191 (​B)
Gemeente Renkum | 09215649 (​B)
Gemeente Reimerswaal | 51143313 (​B)
Gemeente Renswoude | 32163726 (​B)
Gemeente Reusel-De Mierden | 17272521 (​B)
Gemeente Rheden | 52066169 (​B)
Gemeente Rhenen | 30283218 (​B)
Gemeente Ridderkerk | 24493197 (​B)
Gemeente Rijssen-Holten | 50839519 (​B)
Gemeente Rijswijk | 50681044 (​B)
Gemeente Roerdalen | 50035452 (​B)
Gemeente Roermond | 14117104 (​B)
Gemeente Roosendaal | 20164788 (​B)
Gemeente Rozendaal | 09214922 (​B)
Gemeente Rotterdam | 24483298 (​B)
Gemeente Rucphen | 20164997 (​B)
Gemeente Schagen | 56838328 (​B)
Gemeente Scherpenzeel | 32168248 (​B)
Gemeente Schiedam | 50991663 (​B)
Gemeente Schiermonnikoog | 01173331 (​B)
Gemeente Schouwen-Duiveland | 20170062 (​B)
Gemeente Simpelveld | 51486075 (​B)
Gemeente Sint-Michielsgestel | 17237737 (​B)
Gemeente Sint Anthonis | 17242249 (​B)
Gemeente Sittard-Geleen | 14130475 (​B)
Gemeente Sliedrecht | 24488726 (​B)
Gemeente Sluis | 20164313 (​B)
Gemeente Smallingerland | 01172164 (​B)
Gemeente Soest | 32163787 (​B)
Gemeente Someren | 17273152 (​B)
Gemeente Son en Breugel | 17280818 (​B)
Gemeente Stadskanaal | 01169424 (​B)
Gemeente Staphorst | 50296140 (​B)
Gemeente Stede Broec | 37159550 (​B)
Gemeente Steenbergen | 20165025 (​B)
Gemeente Steenwijkerland | 54137756 (​B)
Gemeente Stein | 51984997 (​B)
Gemeente Stichtse Vecht | 51681897 (​B)
Gemeente Súdwest-Fryslân | 51791811 (​B)
Gemeente Terneuzen | 20164929 (​B)
Gemeente Terschelling | 01177508 (​B)
Gemeente Texel | 37159104 (​B)
Gemeente Teylingen | 27364167 (​B)
Gemeente Tholen | 20166109 (​B)
Gemeente Tiel | 30282147 (​B)
Gemeente Tilburg | 17281808 (​B)
Gemeente Tubbergen | 08215565 (​B)
Gemeente Twenterand | 08215207 (​B)
Gemeente Tynaarlo | 01169292 (​B)
Gemeente Tytsjerksteradiel | 01169679 (​B)
Gemeente Uden | 17279334 (​B)
Gemeente Uitgeest | 34363838 (​B)
Gemeente Uithoorn | 34371711 (​B)
Gemeente Urk | 32166227 (​B)
Gemeente Utrecht | 30280353 (​B)
Gemeente Utrechtse Heuvelrug | 50092812 (​B)
Gemeente Vaals | 14131922 (​B)
Gemeente Valkenburg aan de Geul | 14131921 (​B)
Gemeente Valkenswaard | 17272342 (​B)
Gemeente Veendam | 50852736 (​B)
Gemeente Veenendaal | 50182544 (​B)
Gemeente Veere | 20165936 (​B)
Gemeente Veldhoven | 17272483 (​B)
Gemeente Velsen | 50115634 (​B)
Gemeente Venlo | 14131668 (​B)
Gemeente Venray | 14132389 (​B)
Gemeente Vijfheerenlanden | 73547026 (​B)
Gemeente Vlaardingen | 24485270 (​B)
Gemeente Vlieland | 01181122 (​B)
Gemeente Vlissingen | 20164548 (​B)
Gemeente Voerendaal | 51896125 (​B)
Gemeente Voorne aan Zee | 88738388 (​B)
Gemeente Voorschoten | 27381083 (​B)
Gemeente Voorst | 08218153 (​B)
Gemeente Vught | 50653466 (​B)
Gemeente Waadhoeke | 70528586 (​B)
Gemeente Waalre | 17269410 (​B)
Gemeente Waalwijk | 17278006 (​B)
Gemeente Waddinxveen | 24482458 (​B)
Gemeente Wageningen | 09216322 (​B)
Gemeente Wassenaar | 27380612 (​B)
Gemeente Waterland | 37158345 (​B)
Gemeente Weert | 50320408 (​B)
Gemeente Weesp | 32165235 (​B)
Gemeente West Betuwe | 73549207 (​B)
Gemeente West Maas en Waal | 30276854 (​B)
Gemeente Westerkwartier | 73552208 (​B)
Gemeente Westerveld | 01172480 (​B)
Gemeente Westervoort | 09212509 (​B)
Gemeente Westerwolde | 70485836 (​B)
Gemeente Westland | 27371717 (​B)
Gemeente Weststellingwerf | 50738631 (​B)
Gemeente Westvoorne | 50358944 (​B)
Gemeente Wierden | 53309561 (​B)
Gemeente Wijchen | 09212602 (​B)
Gemeente Wijdemeren | 32165063 (​B)
Gemeente Wijk bij Duurstede | 30279669 (​B)
Gemeente Winterswijk | 09219446 (​B)
Gemeente Woensdrecht | 20164797 (​B)
Gemeente Woerden | 50177214 (​B)
Gemeente Woudenberg | 50676725 (​B)
Gemeente Wormerland | 34371004 (​B)
Gemeente Zaanstad | 34367942 (​B)
Gemeente Zandvoort | 34363858 (​B)
Gemeente Zaltbommel | 30276781 (​B)
Gemeente Zeewolde | 32164515 (​B)
Gemeente Zeist | 51626268 (​B)
Gemeente Zevenaar | 71235426 (​B)
Gemeente Zoetermeer | 27376002 (​B)
Gemeente Zoeterwoude | 27363529 (​B)
Gemeente Zuidhorn | 01182779 (B)
Gemeente Zuidplas | 50595644 (​B)
Gemeente Zundert | 51853876 (​B)
Gemeente Zutphen | 50099604 (​B)
Gemeente Zwartewaterland | 54552907 (​B)
Gemeente Zwijndrecht | 24490491 (​B)
Gemeente Zwolle | 08218173 (​B)
GEO2 Engineering B.V. | 52849058
Geo Infra B.V. | 20044878
Geofoxx B.V. | 06056452
Geonius Geotechniek B.V. | 14048726
Geonius Milieu B.V. | 14048727
GeoRisQ | 67574009
Geomechanica B.V. | 37118604
Geosonda B.V. | 27184822
GKB Realisatie B.V | 24304985
GOconnectIT B.V. | 30171797
Grondboorbedrijf gebrs. Konings B.V. | 20018251
Grondbooronderneming J. Hormann B.V. | 05033468
Grondslag B.V. | 30101055
GSNED B.V. | 61948888
GWS-Data B.V. | 60832134
Haasnoot Bruggen B.V. | 28049751
Hakkers B.V. | 18114401
HaskoningDHV Nederland B.V. | 56515154
Havenbedrijf Rotterdam N.V. | 24354561
HB Milieukundig en Civieltechnisch Adviesbureau B.V. | 34088102
Heijmans Infra B.V. | 17104126
Het gegevenshuis | 63720787
Hektec B.V. | 36047459
Hoogheemraadschap De Stichtse Rijnlanden | 30276831 (​B)
Hoogheemraadschap Hollands Noorderkwartier | 37161516 (​B)
Hoogheemraadschap van Delfland | 50677969 (​B)
Hoogheemraadschap van Rijnland | 51137747 (​B)
Hoogheemraadschap van Schieland en de Krimpenerwaard | 52213463 (​B)
Hoogveld Sonderingen B.V. | 08145500
Hutton Geo B.V. | 82359598
I-Real B.V. | 09182897
IDDS B.V. | 28047921
Ifco Funderingsexpertise B.V. | 29032656
IJB Geotechniek B.V. | 01059718
IMD B.V. | 08109078
Ingenieursbureau BT Geoconsult B.V. | 23087854
Ingenieursbureau Krimpenerwaard | 17076128
Ingenieursbureau Inpijn-Blokpoel Son B.V. | 17052457
Ingenieursbureau Inpijn-Blokpoel West B.V. | 17076128
Ingenieursbureau Land B.V. | 09122512
Ingenieursbureau Maters en De Koning B.V. | 66346460
IntellinQ B.V. | 59317833
Inter Act B.V. | 08043827
Inter Act industrial automation B.V. | 08103567
InventerraComonServices B.V. | 24431723
N.V. IRADO | 24304498
IXAS Gaasperdammerweg B.V. | 61469696
Jong Fruit B.V. | 17237480
Kisters Nederland B.V. | 58545042
Koenders & Partners adviseurs en procesmanagers B.V. | 30203750
Koenders Instruments B.V. | 39064472
Kooistra Agro Advies Bodem, Water en Bemesting | 57995656
Koop Bronbemaling B.V. | 06070130
Koops Grondmechanica B.V. | 61574031
Kosterman milieutechniek B.V. | 30184349
Kragten | 13021491
Kruse Milieu B.V. | 06068751
Kuipers Electronic Engineering B.V. | 23039023
KWR Water B.V. | 27279653
KWS Infra B.V. | 05062469
KYL B.V. | 59327626
Lankelma Adviesbureau B.V. | 54521610
Lankelma Geotechniek Zuid B.V. | 17131641
Lankelma Ingenieursbureau voor Geo Milieu en Funderingstechniek B.V. |  71979972
LievenseCSO Milieu B.V. | 30152124
Luinstra Watermanagement | 05052093
LV Infra | 23089813
LWRO | 17185598
Martens en Van Oord Aannemingsbedrijf B.V. | 20050564
Mateboer Milieu Techniek B.V. | 05051184
Meerinzicht | 60325674 (​B)
Meeuwisse Nederland B.V.| 27146962  MH Poly Consultants & Engineers B.V. | 24429486
Megaborn Traffic Development BV | 11032897
Milieu Advies Noord-Nederland | 73874817
Milieutechniek ZVS Eemnes B.V. | 31034180
Milieutechnisch Adviesbureau Heel BV | 13038100
Miltop B.V. | 16078612
MILON B.V. | 16066179
Ministerie van Binnenlandse Zaken en   Koninkrijksrelaties | 50200097 (​B)
Ministerie van Economische Zaken | 52813150 (​B)
Ministerie van Infrastructuur en Milieu | 52766179 (​B)
Ministerie van Klimaat en Groene Groei | 95206957 (​   B)
Mobilis B.V. | 24289439
Mos Grondmechanica B.V. | 24257098
Mourik Limburg B.V. | 13017175
Movares Nederland B.V. | 30124367
MUG Ingenieursbureau B.V. | 02040355
MuniSense B.V. | 27313745
Nelen & Schuurmans B.V. | 30152280
NH ingenieurs | 77312961
N.V. Nederlandse Gasunie | 02029700
N.V. Waterbedrijf Groningen | 02008621 (​B)
N.V. PWN Waterleidingbedrijf Noord-Holland |   34072007 (​B)
N.V. Waterleiding Maatschappij Limburg | 14602038 (​B)
Nipa Milieutechniek B.V. | 16077486
North Sea Port Netherlands N.V. | 50987496
NU-adviesbureau | 22063981
Oasen N.V. | 29010639 (​B)
OBV C.V. | 32071273
Océ-Technologies B.V. | 12002662
Omgevingsdienst Brabant Noord | 54079403
Omgevingsdienst Flevoland en Gooi en Vechtstreek |   55641857
Omgevingsdienst Haaglanden | 56093926
Omgevingsdienst IJmond | 51365901
Omgevingsdienst Midden-Holland | 55366643
Omgevingsdienst Zuid-Holland Zuid | 51291010
Omgevingsdienst Omgevingsdienst Zuidoost-Brabant| 57159815
Ortageo Nederland B.V. | 66382971
P. Tilma | 36043614
PJ Milieu B.V. | 32068654
Poelsema Veldwerk B.V. | 05086972
Prommenz Milieu B.V. | 73790370
ProRail B.V. | 30124359 (​B)
Provincie Drenthe | 01179514 (​B)
Provincie Flevoland | 32164140 (​B)
Provincie Fryslân | 01178978 (​B)
Provincie Gelderland | 51468751 (​B)
Provincie Groningen | 01182023 (​B)
Provincie Limburg | 50052969 (​B)
Provincie Noord-Brabant | 17278718 (​B)
Provincie Noord-Holland | 34362354 (​B)
Provincie Overijssel | 51048329 (​B)
Provincie Utrecht | 30277172 (​B)
Provincie Zeeland | 20168636 (​B)
Provincie Zuid-Holland | 27375169 (​B)
Raadgevend Ingenieursbureau Wiertsema & Partners   B.V. | 02095434
Quattro-Expertise B.V. | 20122075
RailTD B.V. | 66670861
Rasenberg Infra B.V. | 20032947
RB Geo B.V. | 62696696
Real 4 U B.V. | 51713942
Realworld Systems B.V. | 80495249
Rijksdienst voor het Cultureel Erfgoed | 27367348 (​B)
Rijksdienst voor Ondernemend Nederland |   27378529 (​B)
Rijksinstituut voor Volksgezondheid en Milieu |   30276683 (​B)
Rijksvastgoedbedrijf | 65890604 (​B)
Rijkswaterstaat | 27364178 (​B)
RHDHV Mijnbouw Delft B.V. | 81989261
Royal Eijkelkamp | 09156795
RPS Advies- en Ingenieursbureau B.V. | 24161143
RPS Analyse B.V. | 20059540
Sagro Milieu Advies Zeeland B.V. | 22038560
Salverda Bouw B.V. | 08011909
Sassevaart V.O.F. | 70281335
Sas van Vreeswijk VOF | 65067096
Sialtech B.V. | 30114487
Silt Geo B.V. |17131641
Smart Packaging Solutions B.V. | 02313313
SPAT water | 83867341
Spectrum HSE Technology | 68453507
SPIE Nederland B.V. | 14635629
SOCOTEC Geotechnics B.V. | 17068712
Sondeer Techniek Nederland | 71752544
Stantec | 27184323
Stichting Deltares | 41146461
Stichting Hogeschool van Arnhem en Nijmegen |   09091785
Stichting ICTU | 27198742
Stichting Wageningen Research | 09098104
Stichting Waternet | 41216593 (​B)
Strukton Infrastructure Specialties B.V. | 85008869
Strukton Civiel Noord & Oost B.V. | 33056888
Sweco Nederland B.V. | 30129769
Syntrophos | 57304769
Tauw B.V. | 38014985
Tebezo Waterbouw & Nautische Dienstverlening B.V. |   05029571
Terra Bodemonderzoek B.V. | 02062603
Terra Practicus | 65031954
TerraIndex B.V. | 27239531
Terrascan B.V. | 34104282
The Three Engineers B.V. | 08081725
Timmermans Landmeetkunde B.V. | 01108276
Tjaden Adviesbureau voor Grondmechanica B.V. |   54294959
Tjaden B.V. | 34057287
Trefoil Hydrology | 74503812
Tritium Advies B.V. | 17108024
TNO | 27376655
VanderHelm Milieubeheer B.V. | 27233428
Van den Herik Kust- en Oeverwerken B.V. | 23048358
Van den Heuvel Aannemingsbedrijf B.V. | 16039823
Van der Straaten Geotechniek | 20015504
Van Essen Instruments B.V. | 27227624
Van Harlingen Grondwater Management B.V. |   34182597
